technical_novelty_score_mean,similarity_std
2.25,tensor(1.0219)
2.75,tensor(1.7031)
2.8,tensor(2.1883)
2.75,tensor(1.8347)
2.75,tensor(1.8882)
3.25,tensor(1.6982)
2.75,tensor(1.6580)
2.5,tensor(2.4723)
2.75,tensor(1.5833)
2.3333,tensor(1.6050)
2.2,tensor(1.6135)
2.75,tensor(1.9294)
3,tensor(1.4589)
2.5,tensor(1.7348)
2.75,tensor(1.9509)
3,tensor(2.0168)
2.75,tensor(1.7868)
2,tensor(2.1243)
3,tensor(1.6800)
2.75,tensor(1.7491)
2.5,tensor(2.1215)
1.5,tensor(1.7929)
2.25,tensor(1.9414)
2.25,tensor(1.5591)
2.25,tensor(1.6261)
2.75,tensor(1.8227)
2.75,tensor(1.8111)
2.5,tensor(1.6700)
2.5,tensor(1.5648)
3,tensor(1.2549)
2.6,tensor(2.0848)
2.25,tensor(1.2013)
2.75,tensor(1.9568)
2.5,tensor(1.5839)
2.6667,tensor(2.2403)
2.75,tensor(1.0881)
2,tensor(1.7933)
2,tensor(2.2022)
2.25,tensor(2.1073)
2.5,tensor(2.2164)
2.5,tensor(1.5661)
2.75,tensor(1.7297)
2.25,tensor(1.2986)
2,tensor(1.4993)
2.5,tensor(1.8685)
2.75,tensor(2.0074)
2,tensor(2.0775)
2.8,tensor(1.8550)
2.25,tensor(1.6419)
3,tensor(1.7158)
2,tensor(1.3859)
2.25,tensor(1.5423)
3,tensor(1.5099)
3,tensor(1.8619)
3.2,tensor(1.6271)
3,tensor(1.6015)
1.75,tensor(1.3280)
2.5,tensor(2.1400)
1,tensor(2.1713)
2.5,tensor(1.6404)
2,tensor(1.4804)
2.25,tensor(1.5702)
2.6667,tensor(1.7651)
2.3333,tensor(1.8913)
2.5,tensor(2.1146)
2.6667,tensor(2.1069)
2.3333,tensor(1.8665)
2,tensor(1.3168)
2.5,tensor(1.8962)
2.5,tensor(1.8406)
2.5,tensor(1.5150)
2.5,tensor(1.7031)
2.75,tensor(1.9522)
2.25,tensor(1.6763)
2.6667,tensor(1.9154)
2.25,tensor(1.6883)
3,tensor(1.7103)
2,tensor(1.9100)
2.3333,tensor(1.8475)
2.25,tensor(1.9679)
2.5,tensor(1.9704)
2.75,tensor(1.5229)
2,tensor(1.4947)
2,tensor(1.7544)
2.25,tensor(1.7090)
2.5,tensor(1.9884)
2,tensor(2.0507)
2.75,tensor(1.7306)
2,tensor(1.5716)
1.25,tensor(1.6686)
2,tensor(1.8157)
2,tensor(1.6031)
2.6667,tensor(1.8630)
2.5,tensor(1.7134)
1.8,tensor(2.0990)
2.5,tensor(1.6515)
1.75,tensor(1.1178)
2.5,tensor(1.7624)
2.25,tensor(2.1299)
2.5,tensor(2.2411)
2.3333,tensor(1.9132)
3.25,tensor(1.3962)
2,tensor(1.8491)
2.75,tensor(1.8143)
2.5,tensor(1.6484)
2,tensor(1.5310)
2.3333,tensor(2.2204)
1.8,tensor(1.4000)
3.5,tensor(nan)
2.25,tensor(1.6321)
2,tensor(1.0946)
2.4,tensor(1.8089)
2.5,tensor(1.0913)
2,tensor(1.6205)
1.5,tensor(1.6513)
2,tensor(1.6704)
2.25,tensor(1.5054)
2,tensor(1.2003)
2.5,tensor(2.2760)
2.25,tensor(2.2558)
2.4,tensor(1.9182)
2.3333,tensor(1.6844)
2,tensor(1.4633)
2.6667,tensor(1.7192)
2.5,tensor(1.6009)
2.25,tensor(1.9046)
2.5,tensor(2.1506)
2.5,tensor(2.1420)
1.6667,tensor(1.8635)
2.3333,tensor(1.8376)
2.5,tensor(2.2544)
2.25,tensor(1.7864)
2,tensor(1.7940)
2.25,tensor(1.5276)
2.75,tensor(1.4960)
2.75,tensor(1.3803)
2.4,tensor(1.9374)
1,tensor(2.0348)
2.5,tensor(2.2070)
2.25,tensor(1.9441)
2.25,tensor(2.2286)
2.25,tensor(nan)
2.75,tensor(2.1942)
2.3333,tensor(1.1985)
